source	canonical_subj_id	subject_text	subj_role	word	lemma	verb_id	negated	original_subj_ids	subj_gender	subj_name_variant	canonical_obj_id	object_text	obj_role	original_obj_ids	obj_gender	obj_name_variant
svo	71	Philip Lombard	subj	got	get	1140	False	[71]	m	['He']	71	Philip Lombard	obj	[71]	m	['to keep his mind on the job']
svo	71	Philip Lombard	subj	empowered	empower	1319	False	[71]	m	['I']	71	Philip Lombard	obj	[72, 8, 9]	m	['to hand you one hundred guineas in return for which you will travel to Sticklehaven , Devon']
svo	71	Philip Lombard	subj	hold	hold	1367	False	[72]	m	['you']	71	Philip Lombard	obj	[72]	m	['yourself']
svo	71	Philip Lombard	subj	said	say	1379	False	[71]	m	['Lombard']	71	Philip Lombard	obj	[71]	m	['Fingering his small moustache']
svo	71	Philip Lombard	subj	going	go	1569	False	[71]	m	['he']	71	Philip Lombard	obj	[2, 71]	m	['to enjoy himself at Indian Island']
svo	84	Edward George Armstrong	subj	driving	drive	2387	False	[86]	m	['Dr. Armstrong']	74	Isaac Morris	obj	[74]	m	['Morris']
svo	84	Edward George Armstrong	subj	managed	manage	2804	False	[86]	m	['he']	84	Edward George Armstrong	obj	[86]	m	['to pull himself together in time after that business ten no , fifteen years ago']
svo	90	Anthony James Marston	subj	stretched	stretch	3150	False	[90]	m	['he']	90	Anthony James Marston	obj	[90]	m	['himself']
svo	93	William Henry Blore	subj	stood	stand	3410	False	[93]	m	['He']	93	William Henry Blore	obj	[93]	m	['himself']
svo	93	William Henry Blore	subj	scrutinized	scrutinize	3413	False	[93]	m	['He']	93	William Henry Blore	obj	[93]	m	['himself']
svo	55	Lawrence John Wargrave	subj	followed	follow	4139	False	[55]	m	['Mr. Justice Wargrave']	76	Emily Brent	obj	[76]	f	['her']
svo	56	Owen	subj	wired	wire	4544	False	[95]		['she']	125	Vera Elizabeth Claythorne	obj	[125]	f	['me']
svo	55	Lawrence John Wargrave	subj	seemed	seem	5371	False	[55]	m	['He']	55	Lawrence John Wargrave	obj	[369, 55]	m	['to be wishing that he could order the court to be cleared']
svo	76	Emily Brent	subj	permitted	permit	5718	False	[76]	f	['Miss Brent']	76	Emily Brent	obj	[76]	f	['herself']
svo	91	Badger Berkeley	subj	thinking	think	6705	False	[91]	m	['Badger']	90	Anthony James Marston	obj	[92]	m	['to let him in for this']
svo	125	Vera Elizabeth Claythorne	subj	followed	follow	6773	False	[125]	f	['Vera']	94	Ethel Rogers	obj	[94]	f	['Mrs. Rogers']
svo	56	Owen	subj	mention	mention	7061	True	[95]		['Mrs. Owen']	125	Vera Elizabeth Claythorne	obj	[125]	f	['me']
svo	94	Ethel Rogers	subj	seen	see	7075	True	[94]	f	['I']	56	Owen	obj	[95]		['Mrs. Owen']
svo	125	Vera Elizabeth Claythorne	subj	seen	see	7316	False	[125]	f	['I']	56	Owen	obj	[89]		['Owens']
svo	84	Edward George Armstrong	subj	Remember	remember	8183	False	[86]	m	['Armstrong']	84	Edward George Armstrong	obj	[86]	m	['him']
svo	55	Lawrence John Wargrave	subj	asked	ask	8499	False	[338]	m	['Judge']	55	Lawrence John Wargrave	obj	[55]	m	['him']
svo	93	William Henry Blore	subj	mean	mean	8700	True	[93]	m	['He']	93	William Henry Blore	obj	[93]	m	['to bungle his job']
svo	93	William Henry Blore	subj	thought	think	8726	False	[93]	m	['He']	93	William Henry Blore	obj	[1976, 1977, 93]	m	['Remember this island when I was a kid']
svo	55	Lawrence John Wargrave	subj	grunted	grunt	9336	False	[55]	m	['Mr. Justice Wargrave']	55	Lawrence John Wargrave	obj	[55]	m	['himself']
svo	55	Lawrence John Wargrave	subj	helped	help	9344	False	[55]	m	['Mr. Justice Wargrave']	55	Lawrence John Wargrave	obj	[55]	m	['himself']
