triple_key	row_idx	canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	canonical_id_right	name_right	role_right	gender_right	corrected_agent	corrected_verb	corrected_patient	changed	changes_applied	is_new	agent_byte_start	agent_byte_end	verb_byte_start	verb_byte_end	patient_byte_start	patient_byte_end
10_5_45012_judge	258	10	Isaac Morris	agent	judge	judge	45012	true	m	5	Emily Brent	patient	f	William Henry Blore	judge	Emily Brent	true	agent: "Isaac Morris" → "William Henry Blore"	false						
5_1_45082_told	259	5	Emily Brent	agent	told	tell	45082	false	f	1	Vera Elizabeth Claythorne	patient	f	Emily Brent	told	Vera Elizabeth Claythorne	false		false						
5_0_45095_tell	260	5	Emily Brent	agent	tell	tell	45095	false	f	0	Lawrence John Wargrave	patient	m	Emily Brent	tell	Vera Elizabeth Claythorne	true	patient: "Lawrence John Wargrave" → "Vera Elizabeth Claythorne"	false						
0_3_45267_ask observe	261	0	Lawrence John Wargrave	agent	ask observe	ask observe	45267	false	m	3	Edward George Armstrong	patient	m	Lawrence John Wargrave	ask observe	Edward George Armstrong	false		false						
3_0_45875_looked	262	3	Edward George Armstrong	agent	looked	look	45875	false	m	0	Lawrence John Wargrave	patient	m	Edward George Armstrong	looked	Lawrence John Wargrave	false		false						
3_1_45875_looked	263	3	Edward George Armstrong	agent	looked	look	45875	false	m	1	Vera Elizabeth Claythorne	patient	f	Edward George Armstrong	looked	Vera Elizabeth Claythorne	false		false						
3_0_45888_tell	264	3	Edward George Armstrong	agent	tell	tell	45888	false	m	0	Lawrence John Wargrave	patient	m	Edward George Armstrong	tell	Lawrence John Wargrave	false		false						
4_2_45900_looking	265	4	William Henry Blore	agent	looking	look	45900	false	m	2	Philip Lombard	patient	m	William Henry Blore	looking	Philip Lombard	false		false						
0_1_45966_have	266	0	Lawrence John Wargrave	agent	have	have	45966	false	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	have	Vera Elizabeth Claythorne	true	agent: "Lawrence John Wargrave" → "INCORRECT_TRIPLE"	false						
10_1_46064_have	267	10	Isaac Morris	agent	have	have	46064	false	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	have	Vera Elizabeth Claythorne	true	agent: "Isaac Morris" → "INCORRECT_TRIPLE"	false						
10_4_46968_damned	268	10	Isaac Morris	agent	damned	damn	46968	false	m	4	William Henry Blore	patient	m	INCORRECT_TRIPLE	damned	William Henry Blore	true	agent: "Isaac Morris" → "INCORRECT_TRIPLE"	false						
0_1_48559_think	269	0	Lawrence John Wargrave	agent	think	think	48559	false	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	think	Vera Elizabeth Claythorne	true	agent: "Lawrence John Wargrave" → "INCORRECT_TRIPLE"	false						
14_1_49059_was	270	14	Hugo Hamilton	agent	was	be	49059	false	m	1	Vera Elizabeth Claythorne	patient	f	Hugo Hamilton	was beside [be beside]	Vera Elizabeth Claythorne	true	verb: "was [be]" → "was beside [be beside]"	false						
10_1_49660_got	271	10	Isaac Morris	agent	got	get	49660	false	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	got	INCORRECT_TRIPLE	true	agent: "Isaac Morris" → "INCORRECT_TRIPLE"; patient: "Vera Elizabeth Claythorne" → "INCORRECT_TRIPLE"	false						
10_0_49660_got	272	10	Isaac Morris	agent	got	get	49660	false	m	0	Lawrence John Wargrave	patient	m	Isaac Morris	got	Lawrence John Wargrave	false		false						
3_1_49715_supported	273	3	Edward George Armstrong	agent	supported	support	49715	false	m	1	Vera Elizabeth Claythorne	patient	f	Edward George Armstrong	supported	Vera Elizabeth Claythorne	false		false						
0_1_49865_are	274	0	Lawrence John Wargrave	agent	are	be	49865	false	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	are	Vera Elizabeth Claythorne	true	agent: "Lawrence John Wargrave" → "INCORRECT_TRIPLE"	false						
4_1_50120_knock	275	4	William Henry Blore	agent	knock	knock	50120	false	m	1	Vera Elizabeth Claythorne	patient	f	William Henry Blore	knock	Edward George Armstrong	true	patient: "Vera Elizabeth Claythorne" → "Edward George Armstrong"	false						
