subject_text	subject_ids	subject_pos	verb_text	verb_lemma	verb_id	object_text	object_ids	object_pos	negated
He	[55]	PRON	laid	lay	40	paper	[]	NOUN	False
it	[2]	PRON	bought	buy	173	Mr. Owen	[56]	PROPN	False
Indian Island	[2]	PROPN	bought	buy	195	Miss Gabrielle Turl	[57]	PROPN	False
She	[57]	PRON	wanted	want	207	to spend some months there free from all publicity	[193]	NOUN	False
it	[]	PRON	purchased	purchase	271	Admiralty	[197]	PROPN	False
Mr. Justice Wargrave	[55]	PROPN	drew	draw	300	letter	[]	NOUN	False
I	[0]	PRON	heard	hear	328	anything	[]	PRON	False
bask	[]	NOUN	meet	meet	365	you	[62]	PRON	False
correspondent	[200]	NOUN	signed	sign	373	herself	[200]	PRON	False
he	[198]	PRON	seen	see	398	Lady Constance Culmington	[63]	PROPN	False
she	[63]	PRON	proposed	propose	448	to bask in yet stronger sun and live at one with Nature and the bedouin	[202, 203]	PROPN	False
who	[204]	PRON	buy	buy	481	island	[205]	NOUN	False
who	[204]	PRON	surround	surround	485	herself	[63]	PRON	False
Mr. Justice Wargrave	[55]	PROPN	allowed	allow	503	head	[]	NOUN	False
Vera Claythorne	[125]	PROPN	leaned	lean	526	head	[]	NOUN	False
Vera Claythorne	[125]	PROPN	shut	shut	531	eyes	[]	NOUN	False
it	[]	PRON	meant	mean	573	looking after a swarm of children secretarial holiday posts	[211, 212]	NOUN	False
agency	[213]	NOUN	held	hold	595	hope	[]	NOUN	True
I	[211]	PRON	received	receive	610	name	[]	NOUN	False
they	[1840]	PRON	know	know	627	you	[210]	PRON	False
you	[210]	PRON	take	take	647	duties	[]	NOUN	False
I	[211]	PRON	enclose	enclose	672	pound notes	[]	NOUN	False
house	[189]	NOUN	built	build	738	millionaire	[215]	NOUN	False
house	[189]	NOUN	said	say	744	to be absolutely the last word in luxury	[]	NOUN	False
I	[125]	PRON	get	get	789	job	[]	NOUN	False
people	[1846]	NOUN	like	like	828	Inquest	[]	PROPN	True
Coroner	[1848]	PROPN	acquit	acquit	839	me	[125]	PRON	False
