canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	name_variants_left	canonical_id_right	name_right	role_right	gender_right	name_variants_right
0	Lawrence John Wargrave	agent	seen	see	401	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	25	Constance Culmington	patient	f	['Constance Culmington', 'Lady Constance', 'Lady Constance Culmington', 'Very vague woman', 'his correspondent']
37	Owen	agent	received	receive	623	False	m	['Damned young pup', 'Mr. Owen', 'Mr. Unknown Owen', 'Mrs. Owen', 'Owen']	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
1	Vera Elizabeth Claythorne	agent	think	think	908	True	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"	14	Hugo Hamilton	patient	m	['Hugo', 'Hugo Hamilton', 'The Lord', 'a good-looking young man called Hugo Hamilton', 'you']
15	Cyril Ogilvie Hamilton	agent	cleaving	cleave	979	False	m	['A puny child', 'Cyril', 'Cyril Hamilton', 'Cyril Ogilvie Hamilton', 'You']	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
1	Vera Elizabeth Claythorne	agent	think	think	1030	True	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"	14	Hugo Hamilton	patient	m	['Hugo', 'Hugo Hamilton', 'The Lord', 'a good-looking young man called Hugo Hamilton', 'you']
10	Isaac Morris	agent	give	give	1310	True	m	['Isaac Morris', 'Man called Morris', 'Morris', 'Mr. Isaac Morris', 'Mr. Morris']	2	Philip Lombard	patient	m	['A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow', 'Good-looking fellow']
4	William Henry Blore	agent	helped	help	3891	False	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']	6	John Gordon Macarthur	patient	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"
6	John Gordon Macarthur	agent	looked	look	3950	False	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"	4	William Henry Blore	patient	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']
6	John Gordon Macarthur	agent	talking	talk	3964	False	m	"['""he', 'Damn fool', 'General', 'General Macarthur', 'John Gordon Macarthur']"	4	William Henry Blore	patient	m	['Blore', 'Davis', 'Ex-Inspector Blore', 'I.', 'Inspector Blore']
1	Vera Elizabeth Claythorne	agent	'm	be	4622	False	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"	37	Owen	patient	m	['Damned young pup', 'Mr. Owen', 'Mr. Unknown Owen', 'Mrs. Owen', 'Owen']
