canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	name_variants_left	canonical_id_right	name_right	role_right	gender_right	name_variants_right
0	Lawrence John Wargrave	agent	seen	see	401	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	25	Constance Culmington	patient	f	['Constance Culmington', 'Lady Constance', 'Lady Constance Culmington', 'Very vague woman', 'his correspondent']
37	Owen	agent	received	receive	623	False	m	['Damned young pup', 'Mr. Owen', 'Mr. Unknown Owen', 'Mrs. Owen', 'Owen']	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
0	Lawrence John Wargrave	agent	take	take	660	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
1	Vera Elizabeth Claythorne	agent	think	think	908	True	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"	14	Hugo Hamilton	patient	m	['Hugo', 'Hugo Hamilton', 'The Lord', 'a good-looking young man called Hugo Hamilton', 'you']
15	Cyril Ogilvie Hamilton	agent	cleaving	cleave	979	False	m	['A puny child', 'Cyril', 'Cyril Hamilton', 'Cyril Ogilvie Hamilton', 'You']	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
1	Vera Elizabeth Claythorne	agent	think	think	1030	True	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"	14	Hugo Hamilton	patient	m	['Hugo', 'Hugo Hamilton', 'The Lord', 'a good-looking young man called Hugo Hamilton', 'you']
0	Lawrence John Wargrave	agent	give	give	1310	True	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	2	Philip Lombard	patient	m	['A madman', 'A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow']
0	Lawrence John Wargrave	agent	hold	hold	1410	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	2	Philip Lombard	patient	m	['A madman', 'A very distinguished old gentleman', 'Captain Lombard', 'Counsel', 'Fellow']
0	Lawrence John Wargrave	agent	see	see	1923	False	m	"['""he', 'A hanging judge', 'Absolute Justice', 'Dearest Lawrence', 'Dressing up the judge']"	1	Vera Elizabeth Claythorne	patient	f	"['A daring and resourceful young woman', 'Claythorne', 'Good healthy sensible girl', 'Hugo who had said he loved her', ""I'm""]"
5	Emily Brent	agent	was	be	2176	False	f	"['Emily', 'Emily Brent', ""Ma'am"", 'Madam', 'Miss Brent']"	31	Oliver	patient	f	['Miss Ogden', 'Miss Oliver', 'Mrs. Oliver', 'Oliver']
