triple_key	row_idx	canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	canonical_id_right	name_right	role_right	gender_right	corrected_agent	corrected_verb	corrected_patient	changed	changes_applied	is_new	agent_byte_start	agent_byte_end	verb_byte_start	verb_byte_end	patient_byte_start	patient_byte_end
0_25_401_seen	0	0	Lawrence John Wargrave	agent	seen	see	401	false	m	25	Constance Culmington	patient	f	Lawrence John Wargrave	seen	Constance Culmington	false		false						
37_1_623_received	1	37	Owen	agent	received	receive	623	false	m	1	Vera Elizabeth Claythorne	patient	f	Owen	received	Vera Elizabeth Claythorne	false		false						
0_1_660_take	2	0	Lawrence John Wargrave	agent	take	take	660	false	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	take	Vera Elizabeth Claythorne	true	agent: "Lawrence John Wargrave" → "INCORRECT_TRIPLE"	false						
1_14_908_think	3	1	Vera Elizabeth Claythorne	agent	think	think	908	true	f	14	Hugo Hamilton	patient	m	Vera Elizabeth Claythorne	think	Hugo Hamilton	false		false						
15_1_979_cleaving	4	15	Cyril Ogilvie Hamilton	agent	cleaving	cleave	979	false	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	cleaving	Vera Elizabeth Claythorne	true	agent: "Cyril Ogilvie Hamilton" → "INCORRECT_TRIPLE"	false						
1_14_1030_think	5	1	Vera Elizabeth Claythorne	agent	think	think	1030	true	f	14	Hugo Hamilton	patient	m	Vera Elizabeth Claythorne	think	Hugo Hamilton	false		false						
0_2_1310_give	6	0	Lawrence John Wargrave	agent	give	give	1310	true	m	2	Philip Lombard	patient	m	Isaac Morris	give	Philip Lombard	true	agent: "Lawrence John Wargrave" → "Isaac Morris"	false						
0_2_1410_hold	7	0	Lawrence John Wargrave	agent	hold	hold	1410	false	m	2	Philip Lombard	patient	m	INCORRECT_TRIPLE	hold	Philip Lombard	true	agent: "Lawrence John Wargrave" → "INCORRECT_TRIPLE"	false						
0_1_1923_see	8	0	Lawrence John Wargrave	agent	see	see	1923	false	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	see	Vera Elizabeth Claythorne	true	agent: "Lawrence John Wargrave" → "INCORRECT_TRIPLE"	false						
5_31_2176_was	9	5	Emily Brent	agent	was	be	2176	false	f	31	Oliver	patient	f	Emily Brent	could remember	Oliver	true	verb: "was [be]" → "could remember"	false						
0_1_4386_know	10	0	Lawrence John Wargrave	agent	know	know	4386	false	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	know	Vera Elizabeth Claythorne	true	agent: "Lawrence John Wargrave" → "INCORRECT_TRIPLE"	false						
0_1_4566_know	11	0	Lawrence John Wargrave	agent	know	know	4566	false	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	know	Vera Elizabeth Claythorne	true	agent: "Lawrence John Wargrave" → "INCORRECT_TRIPLE"	false						
1_37_4620_'m	12	1	Vera Elizabeth Claythorne	agent	'm	be	4620	false	f	37	Owen	patient	m	Vera Elizabeth Claythorne	'm	Owen	false		false						
6_2_5222_said	13	6	John Gordon Macarthur	agent	said	say	5222	false	m	2	Philip Lombard	patient	m	John Gordon Macarthur	said	Philip Lombard	false		false						
6_2_5266_ask	14	6	John Gordon Macarthur	agent	ask	ask	5266	false	m	2	Philip Lombard	patient	m	John Gordon Macarthur	ask	Philip Lombard	false		false						
0_4_5520_looked	15	0	Lawrence John Wargrave	agent	looked	look	5520	false	m	4	William Henry Blore	patient	m	Lawrence John Wargrave	looked	William Henry Blore	false		false						
11_37_6186_set	16	11	Fred Narracott	agent	set	set	6186	true	m	37	Owen	patient	m	Fred Narracott	set	Owen	false		false						
8_0_6788_awaiting	17	8	Thomas Rogers	agent	awaiting	await	6788	false	m	0	Lawrence John Wargrave	patient	m	INCORRECT_TRIPLE	awaiting	Lawrence John Wargrave	true	agent: "Thomas Rogers" → "INCORRECT_TRIPLE"	false						
8_0_6796_reassured	18	8	Thomas Rogers	agent	reassured	reassure	6796	false	m	0	Lawrence John Wargrave	patient	m	INCORRECT_TRIPLE	reassured	Lawrence John Wargrave	true	agent: "Thomas Rogers" → "INCORRECT_TRIPLE"	false						
1_9_6967_followed	19	1	Vera Elizabeth Claythorne	agent	followed	follow	6967	false	f	9	Ethel Rogers	patient	f	Vera Elizabeth Claythorne	followed	Ethel Rogers	false		false						
1_9_7102_looked	20	1	Vera Elizabeth Claythorne	agent	looked	look	7102	false	f	9	Ethel Rogers	patient	f	Vera Elizabeth Claythorne	looked	Ethel Rogers	false		false						
37_1_7257_mention	21	37	Owen	agent	mention	mention	7257	true	m	1	Vera Elizabeth Claythorne	patient	f	Owen	mention	Vera Elizabeth Claythorne	false		false						
9_37_7271_seen	22	9	Ethel Rogers	agent	seen	see	7271	true	f	37	Owen	patient	m	Ethel Rogers	seen	Owen	false		false						
1_37_7515_seen	23	1	Vera Elizabeth Claythorne	agent	seen	see	7515	false	f	37	Owen	patient	m	Vera Elizabeth Claythorne	seen	Owen	false		false						
3_0_8552_stared	24	3	Edward George Armstrong	agent	stared	star	8552	false	m	0	Lawrence John Wargrave	patient	m	Edward George Armstrong	stared	Lawrence John Wargrave	false		false						
0_8_8733_asked	25	0	Lawrence John Wargrave	agent	asked	ask	8733	false	m	8	Thomas Rogers	patient	m	Lawrence John Wargrave	asked	Thomas Rogers	false		false						
8_0_8749_stared	26	8	Thomas Rogers	agent	stared	star	8749	false	m	0	Lawrence John Wargrave	patient	m	Thomas Rogers	stared	Lawrence John Wargrave	false		false						
1_4_9396_asking	27	1	Vera Elizabeth Claythorne	agent	asking	ask	9396	false	f	4	William Henry Blore	patient	m	Vera Elizabeth Claythorne	asking	William Henry Blore	false		false						
5_1_9622_looked	28	5	Emily Brent	agent	looked	look	9622	false	f	1	Vera Elizabeth Claythorne	patient	f	Emily Brent	looked	Vera Elizabeth Claythorne	false		false						
1_5_9629_looked	29	1	Vera Elizabeth Claythorne	agent	looked	look	9629	false	f	5	Emily Brent	patient	f	Vera Elizabeth Claythorne	looked	Emily Brent	false		false						
0_37_9860_say	30	0	Lawrence John Wargrave	agent	say	say	9860	false	m	37	Owen	patient	m	Lawrence John Wargrave	say	Owen	false		false						
8_10_9913_followed	31	8	Thomas Rogers	agent	followed	follow	9913	false	m	10	Isaac Morris	patient	m	Thomas Rogers	followed	Isaac Morris	false		false						
3_1_9934_came	32	3	Edward George Armstrong	agent	came	come	9934	false	m	1	Vera Elizabeth Claythorne	patient	f	Edward George Armstrong	came	Vera Elizabeth Claythorne	false		false						
2_8_10528_said	33	2	Philip Lombard	agent	said	say	10528	false	m	8	Thomas Rogers	patient	m	Philip Lombard	said	Thomas Rogers	false		false						
