canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	name_variants_left	canonical_id_right	name_right	role_right	gender_right	name_variants_right	is_new
0	Lawrence John Wargrave	agent	seen	see	401	False	m		25	Constance Culmington	patient	f		False
37	Owen	agent	received	receive	623	False	m		1	Vera Elizabeth Claythorne	patient	f		False
1	Vera Elizabeth Claythorne	agent	think	think	908	True	f		14	Hugo Hamilton	patient	m		False
1	Vera Elizabeth Claythorne	agent	think	think	1030	True	f		14	Hugo Hamilton	patient	m		False
0	Lawrence John Wargrave	agent	give	give	1310	True	m		2	Philip Lombard	patient	m		False
1	Vera Elizabeth Claythorne	agent	'm	be	4622	False	f		37	Owen	patient	m		False
6	John Gordon Macarthur	agent	said	say	5224	False	m		2	Philip Lombard	patient	m		False
6	John Gordon Macarthur	agent	ask	ask	5268	False	m		2	Philip Lombard	patient	m		False
0	Lawrence John Wargrave	agent	looked	look	5522	False	m		4	William Henry Blore	patient	m		False
11	Fred Narracott	agent	set	set	6188	True	m		37	Owen	patient	m		False
1	Vera Elizabeth Claythorne	agent	followed	follow	6969	False	f		9	Ethel Rogers	patient	f		False
1	Vera Elizabeth Claythorne	agent	looked	look	7104	False	f		9	Ethel Rogers	patient	f		False
37	Owen	agent	mention	mention	7259	True	m		1	Vera Elizabeth Claythorne	patient	f		False
9	Ethel Rogers	agent	seen	see	7273	True	f		37	Owen	patient	m		False
3	Edward George Armstrong	agent	stared	star	8554	False	m		0	Lawrence John Wargrave	patient	m		False
0	Lawrence John Wargrave	agent	asked	ask	8735	False	m		8	Thomas Rogers	patient	m		False
8	Thomas Rogers	agent	stared	star	8751	False	m		0	Lawrence John Wargrave	patient	m		False
1	Vera Elizabeth Claythorne	agent	asking	ask	9398	False	f		4	William Henry Blore	patient	m		False
5	Emily Brent	agent	looked	look	9624	False	f		1	Vera Elizabeth Claythorne	patient	f		False
1	Vera Elizabeth Claythorne	agent	looked	look	9631	False	f		5	Emily Brent	patient	f		False
1	Vera Elizabeth Claythorne	agent	say	say	9862	False	m		37	Owen	patient	m		False
3	Edward George Armstrong	agent	came	come	9936	False	m		1	Vera Elizabeth Claythorne	patient	f		False
2	Philip Lombard	agent	said	say	10530	False	m		8	Thomas Rogers	patient	m		False
3	Edward George Armstrong	agent	stared	star	11044	False	m		0	Lawrence John Wargrave	patient	m		False
8	Thomas Rogers	agent	speak	speak	11187	False	m		9	Ethel Rogers	patient	f		False
3	Edward George Armstrong	agent	spoke	speak	11255	False	m		9	Ethel Rogers	patient	f		False
3	Edward George Armstrong	agent	bent	bend	11345	False	m		9	Ethel Rogers	patient	f		False
8	Thomas Rogers	agent	stared	star	11468	False	m		0	Lawrence John Wargrave	patient	m		False
0	Lawrence John Wargrave	agent	looked	look	11726	False	m		2	Philip Lombard	patient	m		False
3	Edward George Armstrong	agent	give	give	11902	False	m		0	Lawrence John Wargrave	patient	m		False
0	Lawrence John Wargrave	agent	know	know	12187	False	m		37	Owen	patient	m		False
8	Thomas Rogers	agent	seen	see	12212	True	m		37	Owen	patient	m		False
10	Isaac Morris	agent	seen	see	12233	True	m		37	Owen	patient	m		False
0	Lawrence John Wargrave	agent	stared	star	12582	False	m		4	William Henry Blore	patient	m		False
7	Anthony James Marston	agent	standing	stand	12592	False	m		4	William Henry Blore	patient	m		False
10	Isaac Morris	agent	drawn	draw	12644	False	m		0	Lawrence John Wargrave	patient	m		False
0	Lawrence John Wargrave	agent	turned	turn	13265	False	m		4	William Henry Blore	patient	m		False
7	Anthony James Marston	agent	moved	move	13513	False	m		4	William Henry Blore	patient	m		False
0	Lawrence John Wargrave	agent	seen	see	13935	True	m		25	Constance Culmington	patient	f		False
37	Owen	agent	accuses	accuse	14263	False	m		0	Lawrence John Wargrave	patient	m		False
0	Lawrence John Wargrave	agent	remember	remember	14274	False	m		13	Edward Seton	patient	m		False
13	Edward Seton	agent	came	come	14280	False	m		0	Lawrence John Wargrave	patient	m		False
0	Lawrence John Wargrave	agent	passed	pass	14406	False	m		13	Edward Seton	patient	m		False
3	Edward George Armstrong	agent	met	meet	14435	False	m		29	Matthews	patient	m		False
0	Lawrence John Wargrave	agent	know	know	14553	False	m		13	Edward Seton	patient	m		False
1	Vera Elizabeth Claythorne	agent	swam	swam	14671	False	f		15	Cyril Ogilvie Hamilton	patient	m		False
6	John Gordon Macarthur	agent	patted	pat	14751	False	m		1	Vera Elizabeth Claythorne	patient	f		False
37	Owen	agent	said	say	14841	False	m		19	Arthur Richmond	patient	m		False
9	Ethel Rogers	agent	were	be	15435	False	f		22	Jennifer Brady	patient	f		False
2	Philip Lombard	agent	looked	look	15551	False	m		37	Owen	patient	m		False
5	Emily Brent	agent	glanced	glance	15908	False	f		3	Edward George Armstrong	patient	m		False
3	Edward George Armstrong	agent	killed	kill	16088	False	m		21	Louisa Mary Clees	patient	f		False
8	Thomas Rogers	agent	beg	beg	16468	False	m		1	Vera Elizabeth Claythorne	patient	f		False
3	Edward George Armstrong	agent	went	go	16760	False	m		7	Anthony James Marston	patient	m		False
3	Edward George Armstrong	agent	peering	peer	16860	False	m		7	Anthony James Marston	patient	m		False
3	Edward George Armstrong	agent	carried	carry	17442	False	m		7	Anthony James Marston	patient	m		False
3	Edward George Armstrong	agent	laid	lay	17454	False	m		7	Anthony James Marston	patient	m		False
3	Edward George Armstrong	agent	said	say	17581	False	m		8	Thomas Rogers	patient	m		False
0	Lawrence John Wargrave	agent	thinking	think	17844	False	m		13	Edward Seton	patient	m		False
0	Lawrence John Wargrave	agent	remembered	remember	17850	False	m		13	Edward Seton	patient	m		False
0	Lawrence John Wargrave	agent	cooked	cook	18140	False	m		13	Edward Seton	patient	m		False
6	John Gordon Macarthur	agent	liked	like	18248	False	m		19	Arthur Richmond	patient	m		False
20	Leslie Macarthur	agent	liked	like	18264	False	f		19	Arthur Richmond	patient	m		False
	Coroner	agent	acquit	acquit	857	false			1	Vera Elizabeth Claythorne	patient			True
	Coroner	agent	complimented	compliment	867	false			1	Vera Elizabeth Claythorne	patient			True
10	Isaac Morris	agent	am empowered to hand	empower	1362	false			2	Philip Lombard	patient			True
2	Philip Lombard	agent	had darted	dart	1464	false			10	Isaac Morris	patient			True
0	Lawrence John Wargrave	agent	followed	follow	4275	false			5	Emily Brent	patient			True
1	Vera Elizabeth Claythorne	agent	am	be	5016	false			37	Owen	patient			True
30	Badger Berkeley	agent	let	let	6901	false			7	Anthony James Marston	patient			True
3	Edward George Armstrong	agent	chatted	chat	7980	false			11	Fred Narracott	patient			True
3	Edward George Armstrong	agent	seen	see	8285	false			0	Lawrence John Wargrave	patient			True
3	Edward George Armstrong	agent	given	evidence	8319	false			0	Lawrence John Wargrave	patient			True
3	Edward George Wargrave	agent	go and pay	go	8484	false			37	Owen	patient			True
0	Lawrence John Wargrave	agent	didn't care	care	8685	true			1	Vera Elizabeth Claythorne	patient			True
	All 10	agent	talk	talk	9343	false				All 10	patient			True
3	Edward George Armstrong	agent	listening	listen	9377	false			0	Lawrence John Wargrave	patient			True
	Anthony Marston	agent	listening	listen	9377	false			0	Lawrence John Wargrave	patient			True
5	Emily Brent	agent	chatted	chat	9383	false			6	John Gordon Macarthur	patient			True
37	Owen	agent	get	get	9782	false			8	Thomas Rogers	patient			True
37	Owen	agent	get	get	9782	false			9	Ethel Rogers	patient			True
5	Emily Brent	agent	met	vera	9889	false			37	Owen	patient			True
	All 10	agent	looked	look	10111	false				All 10	patient			True
3	Edward George Armstrong	agent	cause	cause	10160	false			21	Louisa Mary Clees	patient			True
	Emily Caroline Brent	agent	were responsible	be	10181	false			17	Beatrice Taylor	patient			True
	Wiliam Henry Blore	agent	brought about	bring	10196	false			18	James Stephen Landor	patient			True
1	Vera Elizabeth Claythorne	agent	killed	kill	10225	false				Cyril Oglivie Hamilton	patient			True
6	John Gordon Macarthur	agent	sent	send	10274	false			19	Arthur Richmond	patient			True
7	Anthony James Marston	agent	were guilty	be	10301	false			24	John Combes	patient			True
7	Anthony James Marston	agent	were guilty	be	10301	false			23	Lucy Combes	patient			True
8	Thomas Rogers	agent	brought about	bring	10328	false			22	Jennifer Brady	patient			True
9	Ethel Rogers	agent	brought about	bring	10328	false			22	Jennifer Brady	patient			True
0	Lawrence John Wargrave	agent	were guilty	be	10351	false			13	Edward Seton	patient			True
7	Anthony James Marston	agent	help	help	10463	false			2	Philip Lombard	patient			True
2	Philip Lombard	agent	lifted	lift	10470	false			9	Ethel Rogers	patient			True
7	Anthony James Marston	agent	lifted	lift	10470	false			9	Ethel Rogers	patient			True
2	Philip Lombard	agent	carried	carry	10475	false			9	Ethel Rogers	patient			True
7	Anthony James Marston	agent	carried	carry	10475	false			9	Ethel Rogers	patient			True
3	Edward George Armstrong	agent	helped	help	10490	false			2	Philip Lombard	patient			True
3	Edward George Armstrong	agent	helped	help	10490	false			7	Anthony James Marston	patient			True
3	Edward George Armstrong	agent	bent over	bend	10499	false			9	Ethel Rogers	patient			True
	Emily Caroline Brent	agent	bending over	bend	11161	false			9	Ethel Rogers	patient			True
3	Edward George Armstrong	agent	given	give	12071	false			9	Ethel Rogers	patient			True
8	Thomas Rogers	agent	tell	tell	12181	false			0	Lawrence John Wargrave	patient			True
0	Lawrence John Wargrave	agent	let	let	12516	false			4	William Henry Blore	patient			True
0	Lawrence John Wargrave	agent	am obliged	oblige	12635	false			7	Anthony James Marston	patient			True
	Emily Caroline Brent	agent	am acquainted	acquaint	12829	false			31	Oliver	patient			True
	Emily Caroline Brent	agent	am acquainted	acquaint	12829	false			32	Ogden	patient			True
	Emily Caroline Brent	agent	never met	meet	12849	true			37	Owen	patient			True
30	Badger Berkeley	agent	Told	say	12987	false			7	Anthony James Marston	patient			True
2	Philip Lombard	agent	staring	star	13071	false			4	William Henry Blore	patient			True
37	Owen	agent	instructed	instruct	13623	false			4	William Henry Blore	patient			True
4	William Henry Blore	agent	don't believe	person	13689	false			37	Owen	patient			True
0	Lawrence John Wargrave	agent	knew nothing	know	14584	false			13	Edward Seton	patient			True
	Coroner	agent	exonerated	blame	14718	true			1	Vera Elizabeth Claythorne	patient			True
16	Mrs. Hamilton	agent	didn't blame	it	14732	false			1	Vera Elizabeth Claythorne	patient			True
7	Anthony James Marston	agent	ran	run	15136	false			24	John Combes	patient			True
7	Anthony James Marston	agent	ran	run	15136	false			23	Lucy Combes	patient			True
8	Thomas Rogers	agent	were	Miss	15437	false			22	Jennifer Brady	patient			True
2	Philip Lombard	agent	carried	of	17446	false			7	Anthony James Marston	patient			True
2	Philip Lombard	agent	laid	downstairs	17466	false			7	Anthony James Marston	patient			True
6	John Gordon Macarthur	agent	seeing	keep	18239	false			19	Arthur Richmond	patient			True
20	Leslie Macarthur	agent	hadn't found	find	18301	true				Arthur Riochmond	patient			True
20	Leslie Macarthur	agent	teased	tease	18329	false			19	Arthur Richmond	patient			True
20	Leslie Macarthur	agent	ragged	rag	18337	false			19	Arthur Richmond	patient			True
6	John Gordon Macarthur	agent	loved	love	18385	false			20	Leslie Macarthur	patient			True
6	John Gordon Macarthur	agent	see	see	18390	false			20	Leslie Macarthur	patient			True
6	John Gordon Macarthur	agent	believed in	believe	18421	false			20	Leslie Macarthur	patient			True
6	John Gordon Macarthur	agent	sent	send	18705	false			19	Arthur Richmond	patient			True
20	Leslie Macarthur	agent	wept	weep	18853	false			19	Arthur Richmond	patient			True
1	Vera Elizabeth Claythorne	agent	think	of	19626	false			14	Hugo Hamilton	patient			True
14	Hugo Hamilton	agent	love	love	19757	false			1	Vera Elizabeth Claythorne	patient			True
14	Hugo Hamilton	agent	can't ask	ask	19789	true			1	Vera Elizabeth Claythorne	patient			True
14	Hugo Hamilton	agent	m awfully fond	I	19912	false			15	Cyril Ogilvie Hamilton	patient			True
15	Cyril Ogilvie Hamilton	agent	was fond	he	19921	false			14	Hugo Hamilton	patient			True
20	Leslie Macarthur	agent	teased	tease	18329	False	f		19	Arthur Richmond	patient	m		False
20	Leslie Macarthur	agent	made	make	18332	False	f		19	Arthur Richmond	patient	m		False
20	Leslie Macarthur	agent	ragged	rag	18337	False	f		19	Arthur Richmond	patient	m		False
19	Arthur Richmond	agent	was	be	18372	False	m		20	Leslie Macarthur	patient	f		False
6	John Gordon Macarthur	agent	loved	love	18385	False	m		20	Leslie Macarthur	patient	f		False
6	John Gordon Macarthur	agent	see	see	18390	False	m		20	Leslie Macarthur	patient	f		False
6	John Gordon Macarthur	agent	loved	love	18416	False	m		20	Leslie Macarthur	patient	f		False
6	John Gordon Macarthur	agent	believed	believe	18421	False	m		20	Leslie Macarthur	patient	f		False
6	John Gordon Macarthur	agent	taken	take	18448	False	m		20	Leslie Macarthur	patient	f		False
20	Leslie Macarthur	agent	put	put	18497	False	f		19	Arthur Richmond	patient	m		False
28	Armitage	agent	looked	look	18669	False	m		6	John Gordon Macarthur	patient	m		False
28	Armitage	agent	sent	send	18705	False	m		19	Arthur Richmond	patient	m		False
20	Leslie Macarthur	agent	wept	weep	18853	False	f		19	Arthur Richmond	patient	m		False
