source	canonical_id_left	name_left	role_left	word	lemma	index	negated	original_ids_left	gender_left	name_variants_left	canonical_id_right	name_right	role_right	original_ids_right	gender_right	name_variants_right
avp	125	Vera Elizabeth Claythorne	agent	followed	follow	6773	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	94	Ethel Rogers	patient	[94, 153]	f	['Rogers', 'Mrs. Rogers', 'Mother Rogers']
avp	125	Vera Elizabeth Claythorne	agent	seen	see	7316	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	55	Lawrence John Wargrave	patient	[55, 56, 62, 89, 95, 118, 122, 127, 129, 136, 338]	m	['Mr. Justice Wargrave', 'Wargrave', 'old Wargrave', 'old Justice Wargrave', 'Again Wargrave', 'Mr. Bloody Justice Wargrave', 'The judge', 'the judge', 'the Judge', 'Mr. Owen', 'Owen', 'a Mr. Owen', 'This Mr. Owen', 'This fellow Owen', 'this Mr. Owen', 'Mr. Unknown Owen', 'the lunatic Mr. Owen', 'U.N. Owen', 'Mrs. Owen', 'the Owens', 'These Owens', 'The Owens', 'these Owens', 'Ulick Norman Owen', 'This man Owen', 'Old Wargrave', 'John', 'Lawrence John Wargrave', 'Lawrence Wargrave', 'Llewellyn', 'Dearest Lawrence']
avp	125	Vera Elizabeth Claythorne	agent	understand	understand	23887	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	76	Emily Brent	patient	[76, 77]	f	['Emily Brent', 'Miss Brent', 'Miss Emily Brent', 'Emily', 'Only Emily Brent', 'Dear Miss Brent']
avp	125	Vera Elizabeth Claythorne	agent	keep	keep	24275	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	109	Beatrice Taylor	patient	[109]	f	['Beatrice Taylor', 'BEATRICE TAYLOR', 'Beatrice']
avp	125	Vera Elizabeth Claythorne	agent	avoided	avoid	27705	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	76	Emily Brent	patient	[76, 77]	f	['Emily Brent', 'Miss Brent', 'Miss Emily Brent', 'Emily', 'Only Emily Brent', 'Dear Miss Brent']
avp	125	Vera Elizabeth Claythorne	agent	sat	sit	36543	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	71	Philip Lombard	agent	[71, 72, 97]	m	['Lombard', 'Philip Lombard', 'Philip', 'That fellow Lombard', 'Suddenly Philip Lombard', 'Mr. Lombard', 'Captain Lombard']
avp	125	Vera Elizabeth Claythorne	agent	strike	strike	36882	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	71	Philip Lombard	patient	[71, 72, 97]	m	['Lombard', 'Philip Lombard', 'Philip', 'That fellow Lombard', 'Suddenly Philip Lombard', 'Mr. Lombard', 'Captain Lombard']
avp	125	Vera Elizabeth Claythorne	agent	see	see	36978	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	71	Philip Lombard	patient	[71, 72, 97]	m	['Lombard', 'Philip Lombard', 'Philip', 'That fellow Lombard', 'Suddenly Philip Lombard', 'Mr. Lombard', 'Captain Lombard']
avp	125	Vera Elizabeth Claythorne	agent	answered	answer	37223	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	84	Edward George Armstrong	patient	[84, 86, 287, 737, 861]	m	['Armstrong', 'Dr. Armstrong', 'Poor Dr. Armstrong', 'the doctor', 'The doctor', 'doctor', 'Doctor', 'Doctor doctor', 'Edward George Armstrong']
avp	125	Vera Elizabeth Claythorne	agent	retired	retire	40503	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	76	Emily Brent	agent	[76, 77]	f	['Emily Brent', 'Miss Brent', 'Miss Emily Brent', 'Emily', 'Only Emily Brent', 'Dear Miss Brent']
avp	125	Vera Elizabeth Claythorne	agent	getting	get	40899	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	76	Emily Brent	agent	[76, 77]	f	['Emily Brent', 'Miss Brent', 'Miss Emily Brent', 'Emily', 'Only Emily Brent', 'Dear Miss Brent']
