triple_key	row_idx	canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	canonical_id_right	name_right	role_right	gender_right	corrected_agent	corrected_verb	corrected_patient	changed	changes_applied	is_new	agent_byte_start	agent_byte_end	verb_byte_start	verb_byte_end	patient_byte_start	patient_byte_end
0_25_401_seen	0	0	Lawrence John Wargrave	agent	seen	see	401	False	m	25	Constance Culmington	patient	f	Lawrence John Wargrave	seen	Constance Culmington	False		False						
37_1_623_received	1	37	Owen	agent	received	receive	623	False	m	1	Vera Elizabeth Claythorne	patient	f	Owen	received	Vera Elizabeth Claythorne	False		False						
1_14_908_think	3	1	Vera Elizabeth Claythorne	agent	think	think	908	True	f	14	Hugo Hamilton	patient	m	Vera Elizabeth Claythorne	think	Hugo Hamilton	False		False						
15_1_979_cleaving	4	15	Cyril Ogilvie Hamilton	agent	cleaving	cleave	979	False	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	cleaving	Vera Elizabeth Claythorne	True	"agent: ""Cyril Ogilvie Hamilton"" → ""INCORRECT_TRIPLE"""	False						
1_14_1030_think	5	1	Vera Elizabeth Claythorne	agent	think	think	1030	True	f	14	Hugo Hamilton	patient	m	Vera Elizabeth Claythorne	think	Hugo Hamilton	False		False						
0_2_1310_give	6	0	Lawrence John Wargrave	agent	give	give	1310	True	m	2	Philip Lombard	patient	m	Isaac Morris	give	Philip Lombard	False		False						
1_37_4620_'m	12	1	Vera Elizabeth Claythorne	agent	'm	be	4622	False	f	37	Owen	patient	m	Vera Elizabeth Claythorne	'm	Owen	False		False						
6_2_5222_said	13	6	John Gordon Macarthur	agent	said	say	5224	False	m	2	Philip Lombard	patient	m	John Gordon Macarthur	said	Philip Lombard	False		False						
6_2_5266_ask	14	6	John Gordon Macarthur	agent	ask	ask	5268	False	m	2	Philip Lombard	patient	m	John Gordon Macarthur	ask	Philip Lombard	False		False						
0_4_5520_looked	15	0	Lawrence John Wargrave	agent	looked	look	5522	False	m	4	William Henry Blore	patient	m	Lawrence John Wargrave	looked	William Henry Blore	False		False						
11_37_6186_set	16	11	Fred Narracott	agent	set	set	6188	True	m	37	Owen	patient	m	Fred Narracott	set	Owen	False		False						
1_9_6967_followed	19	1	Vera Elizabeth Claythorne	agent	followed	follow	6969	False	f	9	Ethel Rogers	patient	f	Vera Elizabeth Claythorne	followed	Ethel Rogers	False		False						
1_9_7102_looked	20	1	Vera Elizabeth Claythorne	agent	looked	look	7104	False	f	9	Ethel Rogers	patient	f	Vera Elizabeth Claythorne	looked	Ethel Rogers	False		False						
37_1_7257_mention	21	37	Owen	agent	mention	mention	7259	True	m	1	Vera Elizabeth Claythorne	patient	f	Owen	mention	Vera Elizabeth Claythorne	False		False						
9_37_7271_seen	22	9	Ethel Rogers	agent	seen	see	7273	True	f	37	Owen	patient	m	Ethel Rogers	seen	Owen	False		False						
3_0_8552_stared	24	3	Edward George Armstrong	agent	stared	star	8554	False	m	0	Lawrence John Wargrave	patient	m	Edward George Armstrong	stared	Lawrence John Wargrave	False		False						
0_8_8733_asked	25	0	Lawrence John Wargrave	agent	asked	ask	8735	False	m	8	Thomas Rogers	patient	m	Lawrence John Wargrave	asked	Thomas Rogers	False		False						
8_0_8749_stared	26	8	Thomas Rogers	agent	stared	star	8751	False	m	0	Lawrence John Wargrave	patient	m	Thomas Rogers	stared	Lawrence John Wargrave	False		False						
1_4_9396_asking	27	1	Vera Elizabeth Claythorne	agent	asking	ask	9398	False	f	4	William Henry Blore	patient	m	Vera Elizabeth Claythorne	asking	William Henry Blore	False		False						
5_1_9622_looked	28	5	Emily Brent	agent	looked	look	9624	False	f	1	Vera Elizabeth Claythorne	patient	f	Emily Brent	looked	Vera Elizabeth Claythorne	False		False						
1_5_9629_looked	29	1	Vera Elizabeth Claythorne	agent	looked	look	9631	False	f	5	Emily Brent	patient	f	Vera Elizabeth Claythorne	looked	Emily Brent	False		False						
0_37_9860_say	30	0	Lawrence John Wargrave	agent	say	say	9862	False	m	37	Owen	patient	m	Vera Elizabeth Claythorne	say	Owen	True	"agent: ""Lawrence John Wargrave"" → ""Vera Elizabeth Claythorne"""	False						
3_1_9934_came	32	3	Edward George Armstrong	agent	came	come	9936	False	m	1	Vera Elizabeth Claythorne	patient	f	Edward George Armstrong	came	Vera Elizabeth Claythorne	False		False						
2_8_10528_said	33	2	Philip Lombard	agent	said	say	10530	False	m	8	Thomas Rogers	patient	m	Philip Lombard	said	Thomas Rogers	False		False						
3_0_11042_stared	34	3	Edward George Armstrong	agent	stared	star	11044	False	m	0	Lawrence John Wargrave	patient	m	Edward George Armstrong	stared	Lawrence John Wargrave	False		False						
8_9_11185_speak	35	8	Thomas Rogers	agent	speak	speak	11187	False	m	9	Ethel Rogers	patient	f	Thomas Rogers	speak	Ethel Rogers	False		False						
3_9_11253_spoke	36	3	Edward George Armstrong	agent	spoke	speak	11255	False	m	9	Ethel Rogers	patient	f	Edward George Armstrong	spoke	Ethel Rogers	False		False						
3_9_11343_bent	37	3	Edward George Armstrong	agent	bent	bend	11345	False	m	9	Ethel Rogers	patient	f	Edward George Armstrong	bent	Ethel Rogers	False		False						
8_0_11466_stared	38	8	Thomas Rogers	agent	stared	star	11468	False	m	0	Lawrence John Wargrave	patient	m	Thomas Rogers	stared	Lawrence John Wargrave	False		False						
0_2_11724_looked	39	0	Lawrence John Wargrave	agent	looked	look	11726	False	m	2	Philip Lombard	patient	m	Lawrence John Wargrave	looked	Philip Lombard	False		False						
3_0_11900_give	41	3	Edward George Armstrong	agent	give	give	11902	False	m	0	Lawrence John Wargrave	patient	m	Edward George Armstrong	give	Thomas Rogers	False		False						
0_37_12185_know	42	0	Lawrence John Wargrave	agent	know	know	12187	False	m	37	Owen	patient	m	Thomas Rogers	know	Owen	False		False						
8_37_12210_seen	43	8	Thomas Rogers	agent	seen	see	12212	True	m	37	Owen	patient	m	Thomas Rogers	seen	Owen	False		False						
10_37_12231_seen	44	10	Isaac Morris	agent	seen	see	12233	True	m	37	Owen	patient	m	Thomas Rogers	seen	Owen	False		False						
0_7_12580_stared	45	0	Lawrence John Wargrave	agent	stared	star	12582	False	m	7	Anthony James Marston	patient	m	Lawrence John Wargrave	stared	William Henry Blore	True	"patient: ""Anthony James Marston"" → ""William Henry Blore"""	False						
7_4_12590_standing	46	7	Anthony James Marston	agent	standing	stand	12592	False	m	4	William Henry Blore	patient	m	Anthony James Marston	standing	William Henry Blore	False		False						
10_0_12642_drawn	47	10	Isaac Morris	agent	drawn	draw	12644	False	m	0	Lawrence John Wargrave	patient	m	Anthony James Marston	drawn	Lawrence John Wargrave	False		False						
