canonical_id	verb_text	verb_lemma	negated	is_passive	sid	verb_token_idx	verb_category
0	retired	retire	False	False	1	17	WITHDRAW
0	laid	lay	False	False	2	40	PLACEMENT
0	glanced	glance	False	False	2	45	PEER
0	glanced	glance	False	False	4	59	PEER
0	went	go	False	False	5	71	MOTION
26	wanted spend	want spend	False	False	12	209	DESIRE
35	had	have	False	False	14	240	POSSESSION
0	drew	draw	False	False	17	303	FORCE
0	come	come	False	False	19	337	MOTION
25	heard	hear	False	False	19	331	PERCEPTION
25	signed	sign	False	False	19	376	IMAGE_IMPRESSION
0	cast	cast	False	False	20	389	CREATION
0	seen	see	False	False	20	401	PERCEPTION
25	going	go	False	False	22	421	MOTION
0	heard	hear	False	False	23	443	PERCEPTION
25	proceeded	proceed	False	False	23	447	ASPECT
25	proposed bask	propose bask	False	False	23	452	COMMUNICATION
0	reflected	reflect	False	False	24	473	MARVEL
0	was	be	False	False	24	477	STATE
0	allowed	allow	False	False	25	507	ADMIT
0	slept	sleep	False	False	26	515	FIT
1	leaned	lean	False	False	28	538	ASSUMING_POSITION
1	shut	shut	False	False	28	543	OTHER_COS
37	received	receive	False	False	35	623	OBTAIN
37	understand	understand	False	False	36	638	COGNITION
37	be	be	False	False	37	646	STATE
37	expect	expect	False	False	37	657	DESIRE
0	ask	ask	False	False	37	654	COMMUNICATION
0	take	take	False	False	37	660	OBTAINING
0	met	meet	False	True	38	679	SOCIAL
37	enclose	enclose	False	False	39	685	CONTIGUOUS_LOCATION
1	thought	think	False	False	47	780	COGNITION
1	get	get	False	False	49	807	OBTAINING
1	thought	think	False	False	50	828	COGNITION
1	'm	be	False	False	50	833	STATE
1	remembered	remember	False	False	52	878	COGNITION
1	think	think	True	False	54	908	COGNITION
1	shivered	shiver	False	False	55	925	BODY_INTERNAL_STATES
1	wished	wish	False	False	55	927	DESIRE
1	going	go	True	False	55	931	MOTION
1	be	be	True	False	60	996	STATE
15	cleaving	cleave	False	False	60	979	CLING
1	said	say	False	False	61	1021	COMMUNICATION
1	loved	love	False	False	61	1023	EMOTION
1	think	think	True	False	62	1030	COGNITION
1	opened	open	False	False	63	1036	APPEAR
1	frowned	frown	False	False	63	1040	NONVERBAL_EXPRESSION
1	thought	think	False	False	65	1070	COGNITION
1	bet	bet	False	False	65	1076	BILL
2	thought	think	False	False	67	1116	COGNITION
2	imagine	imagine	False	False	68	1137	CHARACTERIZE
2	like take	like take	False	False	69	1155	EMOTION
2	frowned	frown	False	False	70	1163	NONVERBAL_EXPRESSION
2	got keep	get keep	False	False	73	1181	OBTAINING
2	wondered	wonder	False	False	74	1196	COGNITION
10	damned	damn	False	True	75	1203	JUDGEMENT
2	said	say	False	False	77	1219	COMMUNICATION
2	said	say	False	False	78	1232	COMMUNICATION
2	was	be	False	False	79	1253	STATE
2	fancied	fancy	False	False	80	1264	ADMIRE
10	deceived	deceive	True	True	80	1275	FORCE
2	said	say	False	False	81	1298	COMMUNICATION
0	give	give	True	False	81	1310	TRANSFER
10	shaken	shake	False	False	82	1321	AMUSE
10	empowered hand	empower hand	False	True	85	1362	
0	travel	travel	False	False	85	1375	MOTION
0	met	meet	False	True	86	1390	SOCIAL
0	motored	motor	False	True	86	1393	VEHICLE
0	hold	hold	False	False	87	1410	POSSESSION
2	said	say	False	False	88	1422	COMMUNICATION
2	said	say	False	False	90	1448	COMMUNICATION
10	understand	understand	False	False	90	1452	COGNITION
2	undertake	undertake	True	False	90	1456	ASPECT
2	darted	dart	False	False	91	1464	MOTION
2	spoken	speak	False	False	91	1475	COMMUNICATION
10	answered	answer	False	False	92	1494	COMMUNICATION
0	be withdraw	be withdraw	False	False	92	1510	STATE
10	smiled	smile	False	False	93	1526	NONVERBAL_EXPRESSION
10	knew	know	False	False	94	1533	COGNITION
2	sailed	sail	False	False	96	1567	NONVEHICLE
2	got	get	False	False	97	1580	OBTAINING
2	drew	draw	False	False	98	1590	FORCE
2	draw	draw	False	False	99	1605	FORCE
2	fancied	fancy	False	False	100	1611	ADMIRE
2	going enjoy	go enjoy	False	False	100	1615	MOTION
5	sat	sit	False	False	102	1637	BODY_POSITION
5	was	be	False	False	103	1646	STATE
5	approve	approve	True	False	103	1652	JUDGEMENT
5	sat	sit	False	False	106	1702	BODY_POSITION
5	triumphed	triumph	False	False	106	1711	MARVEL
5	like make	like make	False	False	110	1783	EMOTION
5	remembered	remember	False	False	111	1793	COGNITION
5	reread	reread	False	False	114	1817	
5	read	read	False	False	114	1824	DISCOVER
0	remember	remember	False	False	115	1837	COGNITION
0	see	see	False	False	120	1923	PERCEPTION
5	thought	think	False	False	126	1973	COGNITION
5	let	let	False	False	127	1988	ABOUNDING_WITH
5	been	be	False	False	128	2001	STATE
5	thought	think	False	False	138	2123	COGNITION
5	getting	get	False	False	138	2131	OBTAINING
5	remember	remember	False	False	140	2167	COGNITION
5	was	be	False	False	140	2176	STATE
6	looked	look	False	False	142	2188	PERCEPTION
6	had change	have change	False	False	143	2204	POSSESSION
6	got	get	True	False	146	2236	OBTAINING
37	was	be	False	False	146	2243	STATE
6	enjoy	enjoy	False	False	149	2283	EMOTION
6	had	have	False	False	150	2292	POSSESSION
6	supposed	suppose	False	False	153	2331	COGNITION
37	know	know	False	False	155	2340	COGNITION
6	be	be	False	False	158	2376	STATE
6	want wait	want wait	True	False	166	2458	DESIRE
6	wanted get	want get	False	False	167	2463	DESIRE
3	driving	drive	False	False	169	2476	DRIVE
3	was	be	False	False	170	2484	STATE
3	sat	sit	False	False	172	2502	BODY_POSITION
3	been	be	False	False	174	2554	STATE
3	was	be	False	False	176	2564	STATE
3	was	be	True	False	176	2574	STATE
3	had	have	False	False	178	2591	POSSESSION
3	put	put	False	False	180	2645	PLACEMENT
3	arrived	arrive	False	False	182	2667	ESCAPE
3	had	have	False	False	184	2675	POSSESSION
3	was	be	False	False	185	2688	STATE
3	leaving	leave	False	False	185	2693	MOTION
3	going	go	False	False	185	2696	MOTION
3	received	receive	False	False	187	2722	OBTAIN
9	being	be	False	False	190	2778	STATE
9	hear	hear	True	False	191	2784	PERCEPTION
3	had	have	False	False	202	2895	POSSESSION
3	inspire	inspire	False	False	202	2902	AMUSE
3	managed pull	manage pull	False	False	203	2911	COPE
3	going	go	False	False	205	2941	MOTION
3	cut	cut	False	False	207	2954	AMUSE
3	went	go	False	False	210	2999	MOTION
3	hated	hat	False	False	212	3016	ACCOUTREMENTS
7	thought	think	False	False	216	3044	COGNITION
7	stop	stop	False	False	222	3100	ASPECT
7	push	push	False	False	222	3107	CONTACT
7	have	have	False	False	225	3126	POSSESSION
7	wondered	wonder	False	False	228	3157	COGNITION
30	was	be	False	False	230	3166	STATE
30	had	have	False	False	231	3180	POSSESSION
7	like	like	False	False	235	3236	EMOTION
7	supposed	suppose	False	False	236	3252	COGNITION
7	stretched	stretch	False	False	237	3269	CRANE
7	looked	look	False	False	237	3274	PERCEPTION
7	climbed	climb	False	False	237	3281	CALIBRATABLE_COS
7	let	let	False	False	239	3316	ABOUNDING_WITH
7	leapt	leapt	False	False	239	3324	
7	proceeded	proceed	False	False	242	3349	ASPECT
4	was	be	False	False	244	3361	STATE
4	writing	write	False	False	247	3402	LECTURE
4	muttered	mutter	False	False	248	3417	MANNER_SPEAKING
4	closed	close	False	False	251	3458	CRANE
4	put	put	False	False	251	3462	PLACEMENT
4	glanced	glance	False	False	252	3470	PEER
4	went	go	False	False	254	3494	MOTION
4	ruminated	ruminate	False	False	255	3514	MARVEL
4	slip	slip	False	False	256	3523	TRANSFER
4	look	look	False	False	257	3530	PERCEPTION
4	stood	stand	False	False	258	3536	BODY_POSITION
4	scrutinized	scrutinize	False	False	258	3539	ASSESSMENT
4	said	say	False	False	262	3585	COMMUNICATION
4	forgot	forget	False	False	263	3593	ABANDONMENT
4	said	say	False	False	266	3614	COMMUNICATION
4	reading	read	False	False	267	3641	DISCOVER
4	talk	talk	False	False	267	3648	COMMUNICATION
4	felt	feel	False	False	269	3676	PERCEPTION
4	enter	enter	False	False	269	3680	MOTION
4	remembered	remember	False	False	271	3690	COGNITION
10	tell	tell	True	False	277	3772	COMMUNICATION
4	said	say	False	False	278	3781	COMMUNICATION
10	ca	can	True	False	279	3790	POCKET
6	hiccuped	hiccup	False	False	280	3797	HICCUP
6	said	say	False	False	280	3800	COMMUNICATION
4	said	say	False	False	281	3813	COMMUNICATION
6	said	say	False	False	282	3832	COMMUNICATION
4	said	say	False	False	284	3855	COMMUNICATION
0	're	be	False	False	284	3851	STATE
4	helped	help	False	False	288	3889	SOCIAL
6	stood	stand	False	False	289	3895	BODY_POSITION
4	thought	think	False	False	297	3986	COGNITION
4	am	be	False	False	297	4000	STATE
0	stepped	step	False	False	303	4053	MOTION
0	asked	ask	False	False	304	4066	COMMUNICATION
0	said	say	False	False	306	4092	COMMUNICATION
10	be	be	False	False	309	4157	STATE
1	spoke	speak	False	False	310	4176	COMMUNICATION
5	said	say	False	False	313	4242	COMMUNICATION
5	bent	bent	False	False	313	4250	BEING_OBLIGATORY
5	entered	enter	False	False	313	4254	MOTION
0	holding	hold	False	False	313	4267	POSSESSION
0	followed	follow	False	False	314	4273	MOTION
2	said	say	False	False	315	4278	COMMUNICATION
2	wait	wait	False	False	315	4283	EXIST
1	said	say	False	False	316	4294	COMMUNICATION
0	said	say	False	False	319	4321	COMMUNICATION
5	said	say	False	False	320	4337	COMMUNICATION
0	inquired	inquire	False	False	324	4381	INQUIRE
0	know	know	False	False	324	4386	COGNITION
0	said	say	False	False	326	4420	COMMUNICATION
0	am	be	False	False	326	4425	STATE
0	waiting	wait	False	False	328	4456	EXIST
1	said	say	False	False	329	4460	COMMUNICATION
2	smiled	smile	False	False	330	4471	NONVERBAL_EXPRESSION
2	said	say	False	False	331	4474	COMMUNICATION
0	go	go	False	False	332	4488	MOTION
2	answered	answer	False	False	335	4513	COMMUNICATION
1	said	say	False	False	336	4530	COMMUNICATION
1	hope	hope	False	False	336	4536	DESIRE
1	mean	mean	False	False	336	4544	CONJECTURE
0	know	know	False	False	338	4566	COGNITION
1	been	be	True	False	339	4581	STATE
1	added	add	False	False	340	4587	MIX
1	seen	see	True	False	340	4605	PERCEPTION
1	'm	be	False	False	342	4620	STATE
2	see	see	False	False	343	4631	PERCEPTION
2	said	say	False	False	346	4651	COMMUNICATION
1	laughed	laugh	False	False	347	4662	NONVERBAL_EXPRESSION
1	think	think	True	False	348	4672	COGNITION
37	wired	wire	False	False	349	4684	INSTR_COMMUNICATION
0	like	like	True	False	351	4708	EMOTION
0	got	get	False	False	351	4714	OBTAINING
1	laughed	laugh	False	False	352	4719	NONVERBAL_EXPRESSION
1	got	get	False	False	354	4736	OBTAINING
1	'm	be	False	False	355	4752	STATE
2	said	say	False	False	358	4783	COMMUNICATION
2	know	know	True	False	358	4789	COGNITION
2	seen	see	True	False	359	4794	PERCEPTION
37	are	be	False	False	361	4805	STATE
1	suppose	suppose	False	False	361	4812	COGNITION
37	are	be	False	False	362	4815	STATE
2	thought	think	False	False	364	4825	COGNITION
2	supposed met	suppose meet	False	True	364	4833	COGNITION
2	said	say	False	False	365	4842	COMMUNICATION
2	made	make	False	False	367	4863	CREATION
1	suppose	suppose	False	False	372	4897	COGNITION
0	know	know	False	False	373	4911	COGNITION
2	have	have	True	False	374	4916	POSSESSION
2	said	say	False	False	376	4936	COMMUNICATION
6	had	have	False	False	379	4975	POSSESSION
1	came	come	False	False	381	5002	MOTION
1	said	say	False	False	382	5010	COMMUNICATION
1	am	be	False	False	382	5014	STATE
1	added	add	False	False	384	5029	MIX
6	said know	say know	False	False	392	5137	COMMUNICATION
1	said	say	False	False	394	5166	COMMUNICATION
2	said	say	False	False	396	5192	COMMUNICATION
2	like	like	False	False	397	5205	EMOTION
6	said	say	False	False	400	5222	COMMUNICATION
