surface_form,candidate_id,candidate_name,score,occurrences,status
He,,,0.0,531,unresolved
They,,,0.0,68,unresolved
American millionaire,,,0.0,3,unresolved
Devon,,,0.0,12,unresolved
the new third wife,,,0.0,1,unresolved
bad sailor,,,0.0,1,unresolved
She,,,0.0,249,unresolved
Busy Bee,,,0.0,1,unresolved
Royalty,,,0.0,1,unresolved
Young Lord L,2.0,Philip Lombard,72.73,1,review
Cupid,,,0.0,1,unresolved
Jones,,,0.0,1,unresolved
Dearest Lawrence... such,0.0,Lawrence John Wargrave,76.19,1,review
Paddington,,,0.0,1,unresolved
Oakbridge,,,0.0,2,unresolved
he,,,0.0,196,unresolved
she,,,0.0,122,unresolved
the bedouin,,,0.0,1,unresolved
I,,,0.0,454,unresolved
you,,,0.0,59,unresolved
millionaire,,,0.0,1,unresolved
games mistress,,,0.0,1,unresolved
Coroner,,,0.0,2,unresolved
her,,,0.0,69,unresolved
herself,,,0.0,1,unresolved
man opposite her,,,0.0,1,unresolved
A tall man,,,0.0,1,unresolved
brown face,,,0.0,1,unresolved
A cool customer,,,0.0,1,unresolved
That little Jew,,,0.0,1,unresolved
the little Jew,,,0.0,1,unresolved
my client,,,0.0,1,unresolved
good man,,,0.0,4,unresolved
Damn the smooth little brute,,,0.0,1,unresolved
Jove,,,0.0,2,unresolved
Her father,,,0.0,1,unresolved
Colonel of the old school,,,0.0,1,unresolved
The present generation,,,0.0,1,unresolved
they,,,0.0,8,unresolved
the girls,,,0.0,1,unresolved
we,,,0.0,11,unresolved
Mrs.,,,0.0,4,unresolved
her father,,,0.0,1,unresolved
Canon,,,0.0,1,unresolved
Miss Olton,31.0,Oliver,70.0,1,review
Ormen,,,0.0,1,unresolved
film star,,,0.0,2,unresolved
Spoof Leggard,,,0.0,1,unresolved
Johnny Dyer,,,0.0,1,unresolved
One or two of your old cronies,,,0.0,1,unresolved
Damned young pup,,,0.0,1,unresolved
One,,,0.0,5,unresolved
fellow,,,0.0,2,unresolved
Admiralty,,,0.0,1,unresolved
You,,,0.0,41,unresolved
a couple of grateful women patients,,,0.0,1,unresolved
Pam,,,0.0,1,unresolved
husband,,,0.0,1,unresolved
wife,,,0.0,2,unresolved
These women,,,0.0,1,unresolved
One of these young fools,,,0.0,1,unresolved
Damned young fool,,,0.0,1,unresolved
poor old chap,,,0.0,1,unresolved
Dalmain,,,0.0,1,unresolved
Old men,,,0.0,1,unresolved
The latter,,,0.0,2,unresolved
elderly seafaring gentleman,,,0.0,1,unresolved
bleary eye,,,0.0,1,unresolved
Manservant,,,0.0,1,unresolved
Mr. and Mrs. Rogers,9.0,Ethel Rogers,74.07,2,review
the slumbering man,,,0.0,1,unresolved
Job,,,0.0,1,unresolved
He'd,,,0.0,1,unresolved
colonials,,,0.0,1,unresolved
American Indian,,,0.0,1,unresolved
The old man in the corner,,,0.0,1,unresolved
The old man,,,0.0,4,unresolved
old fellow,,,0.0,2,unresolved
porters,,,0.0,1,unresolved
Jim,,,0.0,1,unresolved
The driver of one of the taxis,,,0.0,1,unresolved
You'm,,,0.0,1,unresolved
The driver,,,0.0,1,unresolved
One of them,,,0.0,1,unresolved
Exeter,,,0.0,1,unresolved
gentleman,,,0.0,1,unresolved
one of you,,,0.0,1,unresolved
Miss,,,0.0,5,unresolved
My name is Lombard,2.0,Philip Lombard,81.82,1,review
The porters,,,0.0,1,unresolved
A very distinguished old gentleman,,,0.0,1,unresolved
The driver of the second taxi,,,0.0,1,unresolved
Your employer,,,0.0,1,unresolved
Her own secretary,,,0.0,1,unresolved
Awkward,,,0.0,1,unresolved
tall soldierly old man,,,0.0,1,unresolved
His porter,,,0.0,1,unresolved
Good-looking fellow,,,0.0,1,unresolved
The three of them,,,0.0,1,unresolved
sir,,,0.0,79,unresolved
giant Indian,,,0.0,1,unresolved
Seven Stars,,,0.0,1,unresolved
third man,,,0.0,1,unresolved
big bluff man,,,0.0,1,unresolved
Davis,4.0,William Henry Blore,76.92,4,review
man,,,0.0,17,unresolved
man of the sea,,,0.0,1,unresolved
Their guide,,,0.0,1,unresolved
The boat's owner,,,0.0,1,unresolved
Ma'am,,,0.0,1,unresolved
guide,,,0.0,1,unresolved
car,,,0.0,1,unresolved
A car,,,0.0,1,unresolved
young man,,,0.0,3,unresolved
young God,,,0.0,1,unresolved
Hero God,,,0.0,1,unresolved
the millionaire,,,0.0,1,unresolved
Missus,,,0.0,1,unresolved
One old maid,,,0.0,1,unresolved
the sour kind,,,0.0,1,unresolved
Tartar,,,0.0,1,unresolved
Old military gentleman,,,0.0,1,unresolved
young lady,,,0.0,1,unresolved
That bluff cheery gent,,,0.0,1,unresolved
Retired tradesman,,,0.0,1,unresolved
The other gentleman,,,0.0,1,unresolved
the lean hungry looking gentleman with the quick eyes,,,0.0,1,unresolved
queer one,,,0.0,1,unresolved
The last gentleman,,,0.0,1,unresolved
tall lank man,,,0.0,1,unresolved
grey-haired,,,0.0,1,unresolved
The woman,,,0.0,4,unresolved
woman,,,0.0,12,unresolved
Queer light eyes,,,0.0,1,unresolved
the woman,,,0.0,5,unresolved
host and hostess,,,0.0,1,unresolved
Everything,,,0.0,1,unresolved
An oddly assorted party,,,0.0,1,unresolved
bear,,,0.0,2,unresolved
Six little Indian boys,,,0.0,2,unresolved
