source	canonical_id_left	name_left	role_left	word	lemma	index	negated	original_ids_left	gender_left	name_variants_left	canonical_id_right	name_right	role_right	original_ids_right	gender_right	name_variants_right
avp	125	Vera Elizabeth Claythorne	agent	followed	follow	6773	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	94	Ethel Rogers	patient	[94, 153]	f	['Rogers', 'Mrs. Rogers', 'Mother Rogers']
avp	125	Vera Elizabeth Claythorne	agent	seen	see	7316	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	56	Owen	patient	[56, 89, 95, 122, 127]	m	['Mr. Owen', 'Owen', 'a Mr. Owen', 'This Mr. Owen', 'This fellow Owen', 'this Mr. Owen', 'Mr. Unknown Owen', 'the lunatic Mr. Owen', 'U.N. Owen', 'Mrs. Owen', 'the Owens', 'These Owens', 'The Owens', 'these Owens', 'Ulick Norman Owen', 'This man Owen']
avp	125	Vera Elizabeth Claythorne	agent	understand	understand	23887	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	76	Emily Brent	patient	[76, 77]	f	['Emily Brent', 'Miss Brent', 'Miss Emily Brent', 'Emily', 'Only Emily Brent', 'Dear Miss Brent']
avp	125	Vera Elizabeth Claythorne	agent	keep	keep	24275	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	109	Beatrice Taylor	patient	[109]	f	['Beatrice Taylor', 'BEATRICE TAYLOR', 'Beatrice']
avp	125	Vera Elizabeth Claythorne	agent	avoided	avoid	27705	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	76	Emily Brent	patient	[76, 77]	f	['Emily Brent', 'Miss Brent', 'Miss Emily Brent', 'Emily', 'Only Emily Brent', 'Dear Miss Brent']
avp	125	Vera Elizabeth Claythorne	agent	strike	strike	36882	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	71	Philip Lombard	patient	[71, 72, 97]	m	['Lombard', 'Philip Lombard', 'Philip', 'That fellow Lombard', 'Suddenly Philip Lombard', 'Mr. Lombard', 'Captain Lombard']
avp	125	Vera Elizabeth Claythorne	agent	see	see	36978	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	71	Philip Lombard	patient	[71, 72, 97]	m	['Lombard', 'Philip Lombard', 'Philip', 'That fellow Lombard', 'Suddenly Philip Lombard', 'Mr. Lombard', 'Captain Lombard']
avp	125	Vera Elizabeth Claythorne	agent	answered	answer	37223	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	84	Edward George Armstrong	patient	[84, 86, 287, 737, 861]	m	['Armstrong', 'Dr. Armstrong', 'Poor Dr. Armstrong', 'the doctor', 'The doctor', 'doctor', 'Doctor', 'Doctor doctor', 'Edward George Armstrong']
avp	125	Vera Elizabeth Claythorne	agent	fetch	fetch	43689	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	76	Emily Brent	patient	[76, 77]	f	['Emily Brent', 'Miss Brent', 'Miss Emily Brent', 'Emily', 'Only Emily Brent', 'Dear Miss Brent']
avp	125	Vera Elizabeth Claythorne	agent	tell	tell	50380	False	[125]	f	['Vera', 'Vera Claythorne', 'Miss Claythorne', 'Claythorne', 'Vera Elizabeth Claythorne', 'Miss Vera Claythorne']	69	Cyril Ogilvie Hamilton	patient	[69]	m	['Cyril', 'Cyril Ogilvie Hamilton', 'Cyril Hamilton']
